School Domain Name,Username,School Name,Address 1,Address 2,Taluk,Pincode,School Phone No,School Mail ID,No. of Staff,No. of Students
discovermind.com,B1ueBirdy!,Pioneer Elementary School,"1234 Elm Street, Apt. 5B, Anytown, USA 12345","1234 Elm Street, Apt. 5B, Anytown, USA 12345",Anantapur,110001,8672049318,erptestschool01@yopmail.com,438,856
innovatespace.com,C4tL0v3r$,Mountain View Middle School,"5678 Maple Avenue, Anytown, USA 12345","5678 Maple Avenue, Anytown, USA 12345",Chikmagalur,560001,8825413709,erptestschool02@yopmail.com,797,275
globalvisionary.com,P3pp3ryP0tat0,Oakwood High School,"9010 Oak Lane, Suite 100, Anytown, USA 12345","9010 Oak Lane, Suite 100, Anytown, USA 12345",Coimbatore,400001,8309650127,erptestschool03@yopmail.com,768,727
digitalprosperity.com,J@zzM@ster,Summit Academy,"1111 Pine Street, Anytown, USA 12345","1111 Pine Street, Anytown, USA 12345",Davanagere,600001,8470396251,erptestschool04@yopmail.com,246,425
modernlifestyle.com,H@ppyH0pper,Valley View School,"2222 Birch Road, Anytown, USA 12345","2222 Birch Road, Anytown, USA 12345",Erode,700001,8230567419,erptestschool05@yopmail.com,622,837
connectworlds.net,B3@chB@be,Greenfield Elementary,"3333 Cedar Boulevard, Anytown, USA 12345","3333 Cedar Boulevard, Anytown, USA 12345",Guntur,208001,8532160974,erptestschool06@yopmail.com,853,48
techsavvynet.net,L0v3lyL@ss,Willow Creek Middle School,"4444 Magnolia Lane, Anytown, USA 12345","4444 Magnolia Lane, Anytown, USA 12345",Hassan,382445,8250371469,erptestschool07@yopmail.com,579,987
globalnetworking.net,C0zyC@bin,Lakeview High School,"5555 Acorn Drive, Anytown, USA 12345","5555 Acorn Drive, Anytown, USA 12345",Hubli,682016,8612953740,erptestschool08@yopmail.com,104,640
futureinnovations.net,W1ldW@ve,Heritage Academy,"6666 Willow Street, Anytown, USA 12345","6666 Willow Street, Anytown, USA 12345",Kancheepuram,413001,8163074952,erptestschool09@yopmail.com,973,871
cloudstorage.net,F1zzL3mon@d3,Skyline Elementary School,"7777 Pinehurst Avenue, Anytown, USA 12345",,Karur,641001,8432075196,erptestschool10@yopmail.com,732,276
empowerwomen.org,M@gicMushy,Sunflower Middle School,"8888 Lakeview Terrace, Anytown, USA 12345",,Kurnool,761001,8291630745,erptestschool11@yopmail.com,181,515
sustainablenature.org,Cr@zyCr@ft3r,Pinecrest High School,"9999 Mountain Road, Anytown, USA 12345",,Madurai,302001,8780593412,erptestschool12@yopmail.com,358,102
healthymind.org,H@ppyH3@rt,Horizon Academy,"1010 Forest Lane, Anytown, USA 12345",,Mysore,713301,8034792156,erptestschool13@yopmail.com,58,343
educateyouth.org,W@ffleWiz,Meadowview School,"1212 Sunflower Court, Anytown, USA 12345",,Namakkal,560102,8690352104,erptestschool14@yopmail.com,665,732
buildcommunity.org,D@rkyDr@gon,Riverside Middle School,"1414 Rosewood Drive, Anytown, USA 12345",,Nellore,110092,8473609251,erptestschool15@yopmail.com,907,648
,R3dR0bin*,Brookside High School,"1616 Elmwood Avenue, Anytown, USA 12345",,Palakkad,144205,8452096371,erptestschool16@yopmail.com,413,47
,Sp@rkySp@rk,Golden Grove Academy,"1818 Magnolia Road, Anytown, USA 12345",,Salem,641048,8671934250,erptestschool17@yopmail.com,954,376
,G@mingGuru,Redwood Elementary School,"2020 Cedar Street, Anytown, USA 12345",,Shimoga,422003,8039476215,erptestschool18@yopmail.com,801,159
,B3rryB3rry,Maplewood Middle School,"2222 Oakwood Lane, Anytown, USA 12345",,Sivagangai,585401,8246059173,erptestschool19@yopmail.com,542,785
,Tr0pic@lTiki,Cedar Ridge High School,"2424 Maplewood Drive, Anytown, USA 12345",,Thanjavur,500034,8025734916,erptestschool20@yopmail.com,324,821
,J1ngl3J@zz,Sunrise Academy,"2626 Pinehurst Road, Anytown, USA 12345",,Tirunelveli,125001,8572019463,erptestschool21@yopmail.com,623,605
,B0ldB3@uty,Oakhill School,"2828 Lakeview Boulevard, Anytown, USA 12345",,Tiruppur,781005,8459270361,erptestschool22@yopmail.com,166,980
,N@ughtyN3rd,Millbrook Middle School,"3030 Mountain View Avenue, Anytown, USA 12345",,Trichy,700061,8913462075,erptestschool23@yopmail.com,767,634
,R0llingR0ck,Summit Ridge High School,"3232 Willow Lane, Anytown, USA 12345",,Udupi,751001,8627401935,erptestschool24@yopmail.com,231,881
,Sn@zzySn@ke,Pine Grove Elementary School,"3434 Birch Avenue, Anytown, USA 12345",,Vellore,695014,8102379564,erptestschool25@yopmail.com,527,143
