Staffs,,,,,,,,,,,,Identity Information:,,,Medical Information:,,,,,,,Permanent Address,,,
First Name,Middle Name,Last Name,Staff ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,email,Mobile Number,Alternative Mobile Number,Nationality,Religion,Community:,Scar,Mole:,Medical History:,Address:,City:,State:,Pincode:,Address,City,State,Pincode
Rahul,Kumar,Smith,STF0002,7777 8888 9998,Project Management,Reading,Valedictorian Award,Honor Roll recognition,erpteststaff02@yopmail.com,9465037281,9073468125,Indian,Christianity,LGBTQ,Large scar above left eyebrow,Small mole above left eyebrow,Allergic to pollen,123 Main St,New York City,California,110001,"57, Ashok Nagar, Bapuji Nagar",Gwalior,Kerala,110034
Kavita,Suresh,Johnson,STF002,7777 8888 9999,Time Management,Writing,Salutatorian Award,Most Improved Student recognition,erpteststaff02@yopmail.com,8912746583,8752396140,Chinese,Islam,People with Disabilities,Small scar on chin,Large mole on right cheek,Asthma,456 Park Ave.,Los Angeles,Texas,400001,"24, Subhashpuri, Adarsh Nagar",Bhopal,Punjab,682031
Manish,Rakesh,Brown,STF003,1212 2323 3434,Teamwork,Drawing,Honor Roll,Perfect Attendance recognition,erpteststaff03@yopmail.com,8354921760,8924760315,Mexican,Hinduism,Seniors/Elderly,Thin scar on right cheek,Raised mole on nose,Broken arm at age 10,789 Elm St.,Chicago,Florida,600001,"6/29, Rajiv Gandhi Nagar, Shanti Nagar",Amritsar,Assam,144204
Priya,Prakash,Garcia,STF004,4545 6767 8989,Leadership,Painting,National Honor Society,Leadership Award recognition,erpteststaff04@yopmail.com,7029183456,7643285109,French,Buddhism,Children/Youth,Jagged scar on left forearm,Mole on chin,Chickenpox as a child,101 Oak Rd.,Houston,New York,700001,"36, Ravi Vihar, Bhagat Singh Colony",Patna,Bihar,530001
Ajay,Rajesh,Miller,STF005,9876 5432 1098,Communication,Playing an instrument,Perfect Attendance,Athletic Achievement recognition,erpteststaff05@yopmail.com,8970623451,9037468125,Japanese,Sikhism,Indigenous Peoples,Circular scar on right elbow,Small mole on upper lip,Chronic headaches,234 Pine St.,Phoenix,Pennsylvania,800001,"45, Krishna Nagar, Gopalpura Bypass",Kolkata,Gujarat,695011
Meena,Vivek,Davis,STF006,1112 2233 3344,Problem-Solving,Singing,Science Fair Winner,Science Fair Winner recognition,erpteststaff06@yopmail.com,8240931765,8319542760,Brazilian,Judaism,Refugees/Asylum Seekers,Raised scar on left wrist,Mole on right ear,Depression,567 Maple Ave.,Philadelphia,Illinois,900001,"14, Shivaji Colony, Rajgarh",Hyderabad,Tamil Nadu,380009
Sameer,Sanjay,Wilson,STF007,5556 6677 7788,Creativity,Dancing,Math Olympiad Winner,Math Olympiad Winner recognition,erpteststaff07@yopmail.com,9162083457,7984165203,German,Taoism,Homeless,Long scar on back of left thigh,Mole on left temple,Diabetes,890 Cedar St.,San Antonio,Ohio,110002,"3, Patel Nagar, Gomti Nagar",Pune,Haryana,641001
Priya,Nitin,Anderson,STF008,9990 8887 7774,Critical Thinking,Acting,Spelling Bee Winner,Spelling Bee Winner recognition,erpteststaff08@yopmail.com,7925483160,9271345608,Nigerian,Confucianism,Immigrants,Faint scar above upper lip,Mole on right shoulder,Eczema,1111 Willow Dr.,San Diego,Georgia,400002,"18, Nehru Nagar, Mahalaxmi Nagar",Jaipur,Jharkhand,781005
Aravind,Devi,Thomas,STF009,1213 2324 3435,Decision Making,Photography,Geography Bee Winner,Geography Bee Winner recognition,erpteststaff09@yopmail.com,8671042395,8569372401,Russian,Shintoism,Veterans,Deep scar on right calf,Mole on left wrist,Epilepsy,2222 Juniper Ln.,Dallas,North Carolina,600002,"67, Gandhi Road, Kumhrar",Kanpur,Maharashtra,492001
Sangeetha,Raman,Jackson,STF010,7878 8989 9990,Analytical Thinking,Videography,Student Council Leadership Award,Debate Club recognition,erpteststaff10@yopmail.com,9256038714,9046318275,American,Zoroastrianism,Women,Scattered scars on both arms,Mole on upper back,Fractured rib in a car accident,3333 Birch Rd.,San Jose,Michigan,700002,"32, Ram Nagar, BHEL Township",Lucknow,Madhya Pradesh,500001
