First Name,Middle Name,Last Name,Student ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,Email,Mobile Number,Emergency Mobile Number,Scar,Mole,Medical History,Temporary Address,City,State,Pincode,Permanent Address,City,State,Pincode,Sibling Name,Sibling Education
Emma,Elizabeth,Patel,SDNT0001,753908216549,Programming,Painting,Academic Excellence Award,Perfect Attendance Award,erpteststudent04@yopmail.com,8765432190,9354682107,Large scar above left eyebrow,Small mole above left eyebrow,Allergic to pollen,123 Main St.,Gwalior,Kerala,110034,"57, Ashok Nagar, Bapuji Nagar",Gwalior,Kerala,110034,Olivia and Ethan,I
Liam,Alexander,Wong,SDT002,836214573020,Writing,Playing musical instruments,Outstanding Student Leader Award,Honor Roll Award,erpteststudent01@yopmail.com,9023785641,7314598630,Small scar on chin,Large mole on right cheek,Asthma,456 Park Ave.,Bhopal,Punjab,682031,"24, Subhashpuri, Adarsh Nagar",Bhopal,Punjab,682031,Amelia and Liam,II
Olivia,Marie,Kim,SDT003,129685437901,Public speaking,Hiking,Most Improved Student Award,Outstanding Achievement in Science Award,erpteststudent02@yopmail.com,7875670934,8967453102,Thin scar on right cheek,Raised mole on nose,Broken arm at age 10,789 Elm St.,Amritsar,Assam,144204,"6/29, Rajiv Gandhi Nagar, Shanti Nagar",Amritsar,Assam,144204,Ava and Noah,III
Noah,James,Singh,SDT004,753908216549,Leadership,Reading,Outstanding Sportsmanship Award,Excellence in Mathematics Award,erpteststudent03@yopmail.com,8765432190,8096132547,Jagged scar on left forearm,Mole on chin,Chickenpox as a child,101 Oak Rd.,Patna,Bihar,530001,"36, Ravi Vihar, Bhagat Singh Colony",Patna,Bihar,530001,Charlotte and William,IV
Ava,Sophia,Rodriguez,SDT005,624593817246,Team management,Writing,Perfect Attendance Award,Best in English Language Arts Award,erpteststudent04@yopmail.com,9098765432,9354682107,Circular scar on right elbow,Small mole on upper lip,Chronic headaches,234 Pine St.,Kolkata,Gujarat,695011,"45, Krishna Nagar, Gopalpura Bypass",Kolkata,Gujarat,695011,Emma and Benjamin,V
Ethan,Benjamin,Martinez,SDT006,318764209684,Graphic design,Photography,Science Fair Award,Social Studies Achievement Award,erpteststudent05@yopmail.com,7990123456,7945361820,Raised scar on left wrist,Mole on right ear,Depression,567 Maple Ave.,Hyderabad,Tamil Nadu,380009,"14, Shivaji Colony, Rajgarh",Hyderabad,Tamil Nadu,380009,Harper and Mason,VI
Sophia,Grace,Lee,SDT007,942103875632,Data analysis,Playing video games,Math Olympiad Award,Physical Education Award,erpteststudent06@yopmail.com,8345678901,8906547312,Long scar on back of left thigh,Mole on left temple,Diabetes,890 Cedar St.,Pune,Haryana,641001,"3, Patel Nagar, Gomti Nagar",Pune,Haryana,641001,Isabella and Jacob,VII
Jackson,William,Chen,SDT008,568490321574,Project management,Collecting stamps/coins,Artistic Achievement Award,Music Achievement Award,erpteststudent07@yopmail.com,8976543210,7298164350,Faint scar above upper lip,Mole on right shoulder,Eczema,1111 Willow Dr.,Jaipur,Jharkhand,781005,"18, Nehru Nagar, Mahalaxmi Nagar",Jaipur,Jharkhand,781005,Sophia and Elijah,VIII
Mia,Olivia,Gonzalez,SDT009,21938475610,Sales,Knitting/crocheting,Music Performance Award,Artistic Excellence Award,erpteststudent08@yopmail.com,9123456780,9876503421,Deep scar on right calf,Mole on left wrist,Epilepsy,2222 Juniper Ln.,Kanpur,Maharashtra,492001,"67, Gandhi Road, Kumhrar",Kanpur,Maharashtra,492001,Mia and Oliver,IX
Aiden,Samuel,Hernandez,SDT010,763905821430,Customer service,Dancing,Community Service Award,Drama Achievement Award,erpteststudent09@yopmail.com,8675309123,8096325741,Scattered scars on both arms,Mole on upper back,Fractured rib in a car accident,3333 Birch Rd.,Lucknow,Madhya Pradesh,500001,"32, Ram Nagar, BHEL Township",Lucknow,Madhya Pradesh,500001,Abigail and Lucas,X
Isabella,Charlotte,Nguyen,SDT011,102983647589,Time management,Cooking/baking,Technology and Innovation Award,Debate Champion Award,erpteststudent10@yopmail.com,7987654321,8976541203,Small scar near hairline,Mole on right forearm,Gastrointestinal issues,4444 Ash St.,Raipur,Odisha,800001,"9, Nai Sadak, Shyam Nagar",Raipur,Odisha,800001,Madison and Alexander,XI
Lucas,Daniel,Garcia,SDT012,945872136540,Critical thinking,Fishing,Environmental Stewardship Award,Model UN Recognition Award,erpteststudent11@yopmail.com,8192736450,7309816542,Scar on back of right hand,Mole on left thigh,Heart disease,5555 Spruce Ave.,Chennai,Uttar Pradesh,600001,"21, Shastri Nagar, Gangapur City",Chennai,Uttar Pradesh,600001,Elizabeth and Samuel,XII
Charlotte,Isabella,Johnson,SDT013,570319862430,Web development,Gardening,Creative Writing Award,Science Fair Winner Award,erpteststudent12@yopmail.com,8675309512,8463270195,Scar on right knee,Mole on left earlobe,High blood pressure,6666 Chestnut St.,Ranchi,Rajasthan,560001,"48, Mahaveer Nagar, Gopalpura Bypass",Ranchi,Rajasthan,560001,Scarlett and Gabriel,
Mason,Joseph,Martinez,SDT014,290837461502,Video editing,"Playing sports (e.g. basketball, soccer, tennis)",Debate and Public Speaking Award,Student Council Leadership Award,erpteststudent13@yopmail.com,9034567890,9374621580,Scar on left shoulder blade,Mole on right ankle,Insomnia,7777 Redwood Dr.,Varanasi,West Bengal,462003,"5, Janpath Lane, Sanganer",Varanasi,West Bengal,462003,Victoria and Daniel,
Amelia,Ava,Brown,SDT015,685401923476,Social media marketing,Watching movies/TV shows,Drama and Theater Award,Community Service Award,erpteststudent14@yopmail.com,8790123456,7198632450,Scar on back of neck,Mole on upper chest,Kidney stones,8888 Laurel Rd.,Nagpur,Goa,273015,"11, Vaishali Nagar, Vidhyadhar Nagar",Nagpur,Goa,273015,Grace and Henry,
Oliver,Michael,Kumar,SDT016,438971025603,Networking,Playing board games/card games,National Honor Society Award,Citizenship Award,erpteststudent15@yopmail.com,8976543201,8906152437,Scar on left ankle,Mole on left calf,Migraines,9999 Cypress Ave.,Surat,Himachal Pradesh,400001,"23, Malviya Nagar, Civil Lines",Surat,Himachal Pradesh,400001,Natalie and Matthew,
Harper,Victoria,Lopez,SDT017,810395264370,Accounting,Traveling,Student Council Award,School Spirit Award,erpteststudent16@yopmail.com,8654321098,8045132697,Scar on upper back,Mole on right elbow,Multiple sclerosis,1212 Magnolia Blvd.,Vadodara,Uttarakhand,834001,,Vadodara,Uttarakhand,834001,Chloe and David,
Elijah,Anthony,Williams,SDT018,726195384012,Event planning,Playing chess,History and Social Science Award,Most Improved Student Award,erpteststudent17@yopmail.com,9087654321,9476815203,Scar on left bicep,Mole on back of neck,Osteoporosis,2323 Cedarwood Way,Thiruvananthapuram,Karnataka,641002,,Thiruvananthapuram,Karnataka,641002,Lily and Joseph,
Abigail,Emma,Park,SDT019,230856471985,Problem solving,Woodworking,Foreign Language Achievement Award,Peer Tutoring Award,erpteststudent18@yopmail.com,8790654321,8926530174,Scar on right temple,Mole on left shoulder blade,Rheumatoid arthritis,3434 Oakdale Ave.,Coimbatore,Chhattisgarh,380001,,Coimbatore,Chhattisgarh,380001,Penelope and Christopher,
Logan,Christopher,Kimura,SDT020,109584736520,Market research,Surfing,Business and Entrepreneurship Award,National Merit Scholarship Commendation,erpteststudent19@yopmail.com,8023456789,8034652198,Scar on right hip,Mole on right knee,Seasonal allergies,4545 Pinehurst Dr.,Chandigarh,Andhra Pradesh,141001,,Chandigarh,Andhra Pradesh,141001,Lila and Anthony,
Emily,Madison,Fernandez,SDT021,586390214375,Photography,Playing pool/billiards,Physical Fitness Award,Principal's List Award,erpteststudent20@yopmail.com,8970123456,7196854230,Scar on left hip,Mole on left foot,Severe back pain,5656 Maplewood Rd.,Guwahati,Telangana,144401,,Guwahati,Telangana,144401,Ruby and Michael,
Caleb,Matthew,Taylor,SDT022,310862497508,Language translation,Rock climbing,Model United Nations Award,Student of the Month Award,erpteststudent21@yopmail.com,8712345678,8974502316,Scar on right shoulder,Mole on left hip,Sleep apnea,6767 Sycamore Ln.,Agra,Mizoram,122001,,Agra,Mizoram,122001,Savannah and Richard,
Elizabeth,Abigail,Jones,SDT023,947681320658,Copywriting,Yoga/meditation,Robotics and Engineering Award,Perfect Conduct Award,erpteststudent22@yopmail.com,8123456789,8765093421,Scar on left foot,Mole on right bicep,Thyroid disorder,7878 Ashford Ave.,Jodhpur,Arunachal Pradesh,160017,,Jodhpur,Arunachal Pradesh,160017,Stella and Timothy,
Alexander,David,Smith,SDT024,502938164875,Search engine optimization (SEO),Playing table tennis,Peer Tutoring Award,Computer Science Achievement Award,erpteststudent23@yopmail.com,8790123450,7291645380,Scar on right wrist,Mole on left lower back,Ulcerative colitis,8989 Willowbrook Dr.,Meerut,Manipur,700001,,Meerut,Manipur,700001,Zoey and Andrew,
Natalie,Lily,Rodriguez,SDT025,876412935081,Mobile app development,Sewing,Scholarship and College Readiness Award,Entrepreneurship Award,erpteststudent24@yopmail.com,8675309841,9057486312,Scar on upper right thigh,Mole on right thumb,Vertigo,9090 Chestnut Hill Rd.,Nashik,Meghalaya,600002,,Nashik,Meghalaya,600002,Eleanor and Charles,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Identity Information:,,,,,,,,,,,,,,,,,,,,,,,,
Nationality,Religion,Community:,,,,,,,,,,,,,,,,,,,,,,
Indian,Christianity,LGBTQ+,,,,,,,,,,,,,,,,,,,,,,
Chinese,Islam,People with Disabilities,,,,,,,,,,,,,,,,,,,,,,
Mexican,Hinduism,Seniors/Elderly,,,,,,,,,,,,,,,,,,,,,,
French,Buddhism,Children/Youth,,,,,,,,,,,,,,,,,,,,,,
Japanese,Sikhism,Indigenous Peoples,,,,,,,,,,,,,,,,,,,,,,
Brazilian,Judaism,Refugees/Asylum Seekers,,,,,,,,,,,,,,,,,,,,,,
German,Taoism,Homeless,,,,,,,,,,,,,,,,,,,,,,
Nigerian,Confucianism,Immigrants,,,,,,,,,,,,,,,,,,,,,,
Russian,Shintoism,Veterans,,,,,,,,,,,,,,,,,,,,,,
American,Zoroastrianism,Women,,,,,,,,,,,,,,,,,,,,,,
Italian,Baha'i Faith,Men,,,,,,,,,,,,,,,,,,,,,,
Canadian,Jainism,Ethnic Minorities,,,,,,,,,,,,,,,,,,,,,,
South African,Cao Dai,Religious Minorities,,,,,,,,,,,,,,,,,,,,,,
British,Scientology,Low-Income Families,,,,,,,,,,,,,,,,,,,,,,
Egyptian,Rastafarianism,Environmentalists,,,,,,,,,,,,,,,,,,,,,,
Australian,Druidism,Activists,,,,,,,,,,,,,,,,,,,,,,
Argentinian,Hare Krishna,Scientists,,,,,,,,,,,,,,,,,,,,,,
Korean,Wicca,Artists,,,,,,,,,,,,,,,,,,,,,,
Spanish,Satanism,Writers,,,,,,,,,,,,,,,,,,,,,,
Kenyan,Atheism,Musicians,,,,,,,,,,,,,,,,,,,,,,
Thai,Agnosticism,Athletes,,,,,,,,,,,,,,,,,,,,,,
Indonesian,Animism,Entrepreneurs,,,,,,,,,,,,,,,,,,,,,,
Dutch,Shamanism,Educators,,,,,,,,,,,,,,,,,,,,,,
Turkish,Voodoo,Health Care Workers,,,,,,,,,,,,,,,,,,,,,,
Ghanaian,New Age Spirituality,Animal Rights Activists,,,,,,,,,,,,,,,,,,,,,,
