Admission No.,Parent ID,Annual Income,Father Name,Father Mobile,Father Gmail,Father Education,Father Occupation,Mother Name,Mother Mobile,Mother Gmail,Mother Education,Mother Occupation,Guardian Name,Guardian Mobile,Guardian Gmail,Guardian Education,Guardian Occupation,Notes
ADD001,PARENT001,"₹4,213,000",John,8314567890,erpgradefather01@yopmail.com,High school diploma,Accountant,Sarah,7012345678,erpstudentmother01@yopmail.com,High School Diploma,Teacher,EmilyGarcia,6048293505,erpstudentguardian01@yopmail.com,High School Diploma,Teacher,"Worked as a marketing intern for a small business, assisting with social media campaigns and market research."
ADD002,PARENT002,"₹7,449,000",Michael,9756123456,erpgradefather02@yopmail.com,GED,Lawyer,Mary,8054321098,erpstudentmother02@yopmail.com,GED (General Educational Development) Certificate,Nurse,David Rodriguez,6110234567,erpstudentguardian02@yopmail.com,GED (General Educational Development) Certificate,Nurse,"Served as a teaching assistant at a summer camp, helping to organize activities and mentor children."
ADD003,PARENT003,"₹5,468,000",David,8923647810,erpgradefather03@yopmail.com,Associate's degree,Doctor,Elizabeth,9178901234,erpstudentmother03@yopmail.com,Vocational Training Certificate,Doctor,Olivia Martinez,6249882175,erpstudentguardian03@yopmail.com,Vocational Training Certificate,Doctor,"Worked as a barista at a local coffee shop, providing excellent customer service and honing my communication skills."
ADD004,PARENT004,"₹6,933,000",James,7429015638,erpgradefather04@yopmail.com,Bachelor's degree,Engineer,Maria,6890123456,erpstudentmother04@yopmail.com,Associate's Degree,Lawyer,William Hernandez,6187711122,erpstudentguardian04@yopmail.com,Associate's Degree,Lawyer,"Completed an internship at a non-profit organization, assisting with grant writing and fundraising efforts."
ADD005,PARENT005,"₹3,365,000",William,6598274301,erpgradefather05@yopmail.com,Master's degree,Teacher,Catherine,8023456789,erpstudentmother05@yopmail.com,Bachelor's Degree,Accountant,Sophia Davis,6980443322,erpstudentguardian05@yopmail.com,Bachelor's Degree,Accountant,"Served as a volunteer at a homeless shelter, providing meals and support to individuals in need."
ADD006,PARENT006,"₹4,669,000",Richard,8791023456,erpgradefather06@yopmail.com,PhD,Sales manager,Margaret,9165432108,erpstudentmother06@yopmail.com,Master's Degree,Engineer,Christopher Wright,7079876543,erpstudentguardian06@yopmail.com,Master's Degree,Engineer,"Worked as a sales associate at a retail store, assisting customers and managing inventory."
ADD007,PARENT007,"₹6,230,000",Robert,6087192345,erpgradefather07@yopmail.com,JD (Juris Doctor),Business owner,Anne,8543210987,erpstudentmother07@yopmail.com,Doctorate (PhD) Degree,Sales representative,Isabella Green,6789900011,erpstudentguardian07@yopmail.com,Doctorate (PhD) Degree,Sales representative,"Completed a summer internship at a law firm, assisting with legal research and administrative tasks."
ADD008,PARENT008,"₹7,264,000",Christopher,7265830194,erpgradefather08@yopmail.com,MD (Doctor of Medicine),Chef,Rebecca,7890123456,erpstudentmother08@yopmail.com,Law Degree (Juris Doctor),Business owner,Joseph Brown,6699322244,erpstudentguardian08@yopmail.com,Law Degree (Juris Doctor),Business owner,"Served as an event planner for a university organization, organizing and executing successful events for students and faculty."
ADD009,PARENT009,"₹3,828,000",Daniel,9362578401,erpgradefather09@yopmail.com,DDS (Doctor of Dental Surgery),Construction worker,Ruth,6390876543,erpstudentmother09@yopmail.com,Medical Degree (MD),Writer,Ava Mitchell,6855777888,erpstudentguardian09@yopmail.com,Medical Degree (MD),Writer,"Worked as a research assistant for a university professor, conducting experiments and analyzing data."
ADD010,PARENT010,"₹8,580,000",Steven,8675012349,erpgradefather10@yopmail.com,DVM (Doctor of Veterinary Medicine),Writer,Martha,7456789012,erpstudentmother10@yopmail.com,Dental Degree (DDS),Artist,Ethan Johnson,6999888877,erpstudentguardian10@yopmail.com,Dental Degree (DDS),Artist,"Served as a tutor for a high school student, helping to improve their academic performance in multiple subjects."
ADD011,PARENT011,"₹5,964,000",Charles,9023468715,erpgradefather11@yopmail.com,MBA (Master of Business Administration),Police officer,Eleanor,8765432109,erpstudentmother11@yopmail.com,Nursing Degree (RN),Chef,Mia Baker,6166555566,erpstudentguardian11@yopmail.com,Nursing Degree (RN),Chef,"Worked as a customer service representative at a call center, providing assistance and resolving issues for customers."
ADD012,PARENT012,"₹7,695,000",Joseph,7468910352,erpgradefather12@yopmail.com,MPA (Master of Public Administration),Firefighter,Grace,9023456781,erpstudentmother12@yopmail.com,Teaching Certificate,Scientist,Alexander Collins,6788881111,erpstudentguardian12@yopmail.com,Teaching Certificate,Scientist,"Completed an internship at a public relations firm, assisting with media outreach and drafting press releases."
ADD013,PARENT013,"₹4,683,000",Anthony,8439021560,erpgradefather13@yopmail.com,MFA (Master of Fine Arts),Real estate agent,Priscilla,7823456091,erpstudentmother13@yopmail.com,Early Childhood Education Certificate,Social worker,Charlotte Jackson,6799997777,erpstudentguardian13@yopmail.com,Early Childhood Education Certificate,Social worker,"Served as a lifeguard at a community pool, ensuring the safety of swimmers and responding to emergencies."
ADD014,PARENT014,"₹6,418,000",Thomas,6912034587,erpgradefather14@yopmail.com,MSW (Master of Social Work),Financial analyst,Abigail,8679012345,erpstudentmother14@yopmail.com,Special Education Certification,Real estate agent,Samuel Lee,6134567890,erpstudentguardian14@yopmail.com,Special Education Certification,Real estate agent,"Worked as a data entry clerk at a medical office, inputting patient information and maintaining records."
ADD015,PARENT015,"₹5,247,000",Matthew,8056492137,erpgradefather15@yopmail.com,MEd (Master of Education),Architect,Hannah,9578901234,erpstudentmother15@yopmail.com,Speech-Language Pathology Master's Degree,Financial analyst,Amelia Adams,6888885555,erpstudentguardian15@yopmail.com,Speech-Language Pathology Master's Degree,Financial analyst,"Completed a summer internship at an accounting firm, assisting with tax preparation and bookkeeping."
ADD016,PARENT016,"₹9,044,000",Brian,9562348710,erpgradefather16@yopmail.com,EdD (Doctor of Education),Software developer,Miriam,8954321076,erpstudentmother16@yopmail.com,Social Work Master's Degree,Marketing manager,Benjamin Perez,6999777666,erpstudentguardian16@yopmail.com,Social Work Master's Degree,Marketing manager,"Served as a tour guide for a historical museum, sharing information about exhibits and leading group tours."
ADD017,PARENT017,"₹6,619,000",Kevin,7425189063,erpgradefather17@yopmail.com,PsyD (Doctor of Psychology),Artist,Susannah,7034567892,erpstudentmother17@yopmail.com,Counseling Master's Degree,Human resources manager,Harper Turner,6577770000,erpstudentguardian17@yopmail.com,Counseling Master's Degree,Human resources manager,"Worked as a receptionist at a dental office, scheduling appointments and greeting patients."
ADD018,PARENT018,"₹3,962,000",Andrew,8321054976,erpgradefather18@yopmail.com,PharmD (Doctor of Pharmacy),Electrician,Lydia,6278901234,erpstudentmother18@yopmail.com,Psychology Master's Degree,Entrepreneur,Michael Lewis,6777771111,erpstudentguardian18@yopmail.com,Psychology Master's Degree,Entrepreneur,"Completed an internship at a software development company, assisting with coding and software testing."
ADD019,PARENT019,"₹6,049,000",Timothy,7095648231,erpgradefather19@yopmail.com,BS in Engineering,Mechanic,Phoebe,8790123456,erpstudentmother19@yopmail.com,Public Health Master's Degree,IT professional,Abigail Cooper,6777772222,erpstudentguardian19@yopmail.com,Public Health Master's Degree,IT professional,"Served as a restaurant hostess, greeting guests and managing seating arrangements."
ADD020,PARENT020,"₹7,622,000",Edward,9046723185,erpgradefather20@yopmail.com,MS in Computer Science,Pharmacist,Rachel,7865432109,erpstudentmother20@yopmail.com,Business Administration Master's Degree,Graphic designer,Daniel Wilson,6999993333,erpstudentguardian20@yopmail.com,Business Administration Master's Degree,Graphic designer,"Worked as a freelance writer, producing content for various websites and publications."
ADD021,PARENT021,"₹4,442,000",Patrick,8261093475,erpgradefather21@yopmail.com,BS in Mathematics,Marketing manager,Deborah,8356789012,erpstudentmother21@yopmail.com,Engineering Bachelor's Degree,Event planner,Madison Campbell,6888882222,erpstudentguardian21@yopmail.com,Engineering Bachelor's Degree,Event planner,"Completed an internship at a television news station, assisting with production and reporting."
ADD022,PARENT022,"₹7,110,000",George,6978134502,erpgradefather22@yopmail.com,BA in History,Entrepreneur,Naomi,9076543210,erpstudentmother22@yopmail.com,Computer Science Bachelor's Degree,Athletic coach,Matthew Parker,6999994444,erpstudentguardian22@yopmail.com,Computer Science Bachelor's Degree,Athletic coach,"Served as a graphic designer for a marketing agency, creating visual content for clients."
ADD023,PARENT023,"₹5,124,000",Kenneth,8073945621,erpgradefather23@yopmail.com,BS in Biology,Human resources manager,Leah,8643210987,erpstudentmother23@yopmail.com,Environmental Science Bachelor's Degree,Therapist,Elizabeth Flores,6777775555,erpstudentguardian23@yopmail.com,Environmental Science Bachelor's Degree,Therapist,"Worked as a line cook at a busy restaurant, preparing and plating dishes."
